時間,設備,值
2024-10-26 09:47:24,SA-37/LED_LEVEL,1
2024-10-26 09:47:25,SA-37/LED_LEVEL,3
2024-10-26 09:47:25,SA-37/LED_LEVEL,4
2024-10-26 09:47:26,SA-37/LED_LEVEL,5
2024-10-26 09:47:26,SA-37/LED_LEVEL,6
2024-10-26 09:47:27,SA-37/LED_LEVEL,7
2024-10-26 09:48:04,SA-37/LED_LEVEL,7
2024-10-26 09:48:07,SA-37/LED_LEVEL,9
2024-10-26 09:48:08,SA-37/LED_LEVEL,10
2024-10-26 09:48:09,SA-37/LED_LEVEL,8
2024-10-26 09:48:10,SA-37/LED_LEVEL,7
2024-10-26 09:48:11,SA-37/LED_LEVEL,6
2024-10-26 09:48:25,SA-37/LED_LEVEL,7
2024-10-26 09:48:26,SA-37/LED_LEVEL,8
2024-10-26 09:48:26,SA-37/LED_LEVEL,9
2024-10-26 09:48:27,SA-37/LED_LEVEL,5
2024-10-26 09:48:28,SA-37/LED_LEVEL,6
2024-10-26 09:48:28,SA-37/LED_LEVEL,7
2024-10-26 09:48:29,SA-37/LED_LEVEL,5
2024-10-26 09:48:30,SA-37/LED_LEVEL,3
2024-10-26 09:48:30,SA-37/LED_LEVEL,2
2024-10-26 09:48:31,SA-37/LED_LEVEL,1
2024-10-26 09:48:31,SA-37/LED_LEVEL,0
2024-10-26 09:48:34,SA-37/LED_LEVEL,1
2024-10-26 09:48:35,SA-37/LED_LEVEL,2
2024-10-26 10:15:48,SA-37/TEMPERATURE,27.98069
2024-10-26 10:15:48,SA-37/LINE_LEVEL,560
2024-10-26 10:15:50,SA-37/LINE_LEVEL,544
2024-10-26 10:15:52,SA-37/LINE_LEVEL,560
2024-10-26 10:15:54,SA-37/TEMPERATURE,28.44883
2024-10-26 10:15:54,SA-37/LINE_LEVEL,544
2024-10-26 10:15:56,SA-37/TEMPERATURE,27.98069
2024-10-26 10:15:58,SA-37/TEMPERATURE,28.44883
2024-10-26 10:16:00,SA-37/TEMPERATURE,27.98069
2024-10-26 10:16:00,SA-37/LINE_LEVEL,576
2024-10-26 10:16:02,SA-37/LINE_LEVEL,544
2024-10-26 10:16:06,SA-37/TEMPERATURE,28.44883
2024-10-26 10:16:08,SA-37/TEMPERATURE,27.98069
2024-10-26 10:16:08,SA-37/LINE_LEVEL,560
2024-10-26 10:16:10,SA-37/LINE_LEVEL,544
2024-10-26 10:16:14,SA-37/TEMPERATURE,28.44883
2024-10-26 10:16:18,SA-37/LINE_LEVEL,560
2024-10-26 10:16:22,SA-37/LINE_LEVEL,544
2024-10-26 10:16:24,SA-37/TEMPERATURE,27.98069
2024-10-26 10:16:24,SA-37/LINE_LEVEL,560
2024-10-26 10:16:26,SA-37/LINE_LEVEL,544
2024-10-26 10:16:30,SA-37/LINE_LEVEL,560
2024-10-26 10:16:32,SA-37/LINE_LEVEL,544
2024-10-26 10:16:36,SA-37/TEMPERATURE,28.44883
2024-10-26 10:16:38,SA-37/LINE_LEVEL,560
2024-10-26 10:16:40,SA-37/TEMPERATURE,27.98069
2024-10-26 10:16:40,SA-37/LINE_LEVEL,544
2024-10-26 10:16:42,SA-37/TEMPERATURE,28.44883
2024-10-26 10:16:42,SA-37/LINE_LEVEL,560
2024-10-26 10:16:44,SA-37/LINE_LEVEL,544
2024-10-26 10:16:50,SA-37/LINE_LEVEL,560
2024-10-26 10:16:52,SA-37/TEMPERATURE,27.98069
2024-10-26 10:16:53,SA-37/TEMPERATURE,28.44883
2024-10-26 10:16:54,SA-37/LINE_LEVEL,576
2024-10-26 10:16:56,SA-37/LINE_LEVEL,544
2024-10-26 10:16:58,SA-37/TEMPERATURE,27.98069
2024-10-26 10:17:00,SA-37/TEMPERATURE,28.44883
2024-10-26 10:17:00,SA-37/LINE_LEVEL,560
2024-10-26 10:17:08,SA-37/LINE_LEVEL,576
2024-10-26 10:17:10,SA-37/LINE_LEVEL,544
2024-10-26 10:17:12,SA-37/LINE_LEVEL,560
2024-10-26 10:17:14,SA-37/LINE_LEVEL,576
2024-10-26 10:17:16,SA-37/LINE_LEVEL,560
2024-10-26 10:17:18,SA-37/TEMPERATURE,27.98069
2024-10-26 10:17:20,SA-37/TEMPERATURE,28.44883
2024-10-26 10:17:20,SA-37/LINE_LEVEL,576
2024-10-26 10:17:22,SA-37/LINE_LEVEL,528
2024-10-26 10:17:24,SA-37/LINE_LEVEL,544
2024-10-26 10:17:28,SA-37/LINE_LEVEL,560
2024-10-26 10:17:30,SA-37/LINE_LEVEL,544
2024-10-26 10:17:34,SA-37/LINE_LEVEL,560
2024-10-26 10:17:36,SA-37/LINE_LEVEL,544
2024-10-26 10:17:38,SA-37/LINE_LEVEL,560
2024-10-26 10:17:40,SA-37/LINE_LEVEL,544
2024-10-26 10:17:42,SA-37/LINE_LEVEL,560
2024-10-26 10:17:44,SA-37/LINE_LEVEL,576
2024-10-26 10:17:46,SA-37/LINE_LEVEL,544
2024-10-26 10:17:48,SA-37/LINE_LEVEL,560
2024-10-26 10:17:51,SA-37/LINE_LEVEL,544
2024-10-26 10:17:54,SA-37/LINE_LEVEL,576
2024-10-26 10:17:56,SA-37/LINE_LEVEL,544
2024-10-26 10:17:58,SA-37/LINE_LEVEL,560
2024-10-26 10:18:10,SA-37/LINE_LEVEL,544
2024-10-26 10:18:14,SA-37/LINE_LEVEL,560
2024-10-26 10:18:16,SA-37/LINE_LEVEL,544
2024-10-26 10:18:20,SA-37/LINE_LEVEL,560
2024-10-26 10:18:28,SA-37/TEMPERATURE,28.91698
2024-10-26 10:18:30,SA-37/TEMPERATURE,28.44883
2024-10-26 10:18:34,SA-37/TEMPERATURE,28.91698
2024-10-26 10:18:34,SA-37/LINE_LEVEL,576
2024-10-26 10:18:36,SA-37/LINE_LEVEL,544
2024-10-26 10:18:38,SA-37/TEMPERATURE,28.44883
2024-10-26 10:18:42,SA-37/TEMPERATURE,28.91698
2024-10-26 10:18:42,SA-37/LINE_LEVEL,560
2024-10-26 10:18:45,SA-37/TEMPERATURE,28.44883
2024-10-26 10:18:48,SA-37/LINE_LEVEL,544
2024-10-26 10:18:52,SA-37/LINE_LEVEL,560
2024-10-26 10:18:54,SA-37/LINE_LEVEL,576
2024-10-26 10:18:56,SA-37/TEMPERATURE,28.91698
2024-10-26 10:18:56,SA-37/LINE_LEVEL,544
2024-10-26 10:18:58,SA-37/TEMPERATURE,28.44883
2024-10-26 10:19:00,SA-37/LINE_LEVEL,576
2024-10-26 10:19:03,SA-37/LINE_LEVEL,560
2024-10-26 10:19:10,SA-37/TEMPERATURE,28.91698
2024-10-26 10:19:12,SA-37/TEMPERATURE,28.44883
2024-10-26 10:19:14,SA-37/LINE_LEVEL,544
2024-10-26 10:19:17,SA-37/TEMPERATURE,28.91698
2024-10-26 10:19:17,SA-37/LINE_LEVEL,560
2024-10-26 10:19:20,SA-37/TEMPERATURE,28.44883
2024-10-26 10:19:20,SA-37/LINE_LEVEL,544
2024-10-26 10:19:22,SA-37/TEMPERATURE,28.91698
2024-10-26 10:19:22,SA-37/LINE_LEVEL,560
2024-10-26 10:19:30,SA-37/TEMPERATURE,28.44883
2024-10-26 10:19:30,SA-37/LINE_LEVEL,544
2024-10-26 10:19:34,SA-37/TEMPERATURE,28.91698
2024-10-26 10:19:34,SA-37/LINE_LEVEL,576
2024-10-26 10:19:38,SA-37/LINE_LEVEL,560
2024-10-26 10:19:40,SA-37/TEMPERATURE,28.44883
2024-10-26 10:19:42,SA-37/LINE_LEVEL,576
2024-10-26 10:19:44,SA-37/TEMPERATURE,28.91698
2024-10-26 10:19:46,SA-37/LINE_LEVEL,560
2024-10-26 10:19:49,SA-37/TEMPERATURE,28.44883
2024-10-26 10:21:45,SA-37/LINE_LEVEL,576
2024-10-26 10:21:47,SA-37/LINE_LEVEL,544
2024-10-26 10:21:49,SA-37/TEMPERATURE,28.91698
2024-10-26 10:21:49,SA-37/LINE_LEVEL,560
2024-10-26 10:21:51,SA-37/TEMPERATURE,28.44883
2024-10-26 10:21:51,SA-37/LINE_LEVEL,544
2024-10-26 10:21:53,SA-37/LINE_LEVEL,560
2024-10-26 10:21:57,SA-37/LINE_LEVEL,544
2024-10-26 10:21:57,SA-37/LINE_LEVEL,560
2024-10-26 10:21:59,SA-37/LINE_LEVEL,544
2024-10-26 10:22:03,SA-37/LINE_LEVEL,576
2024-10-26 10:22:05,SA-37/TEMPERATURE,27.98069
2024-10-26 10:22:05,SA-37/LINE_LEVEL,544
2024-10-26 10:22:07,SA-37/TEMPERATURE,28.44883
2024-10-26 10:22:11,SA-37/LINE_LEVEL,560
2024-10-26 10:22:13,SA-37/TEMPERATURE,27.98069
2024-10-26 10:22:13,SA-37/LINE_LEVEL,544
2024-10-26 10:22:15,SA-37/TEMPERATURE,28.44883
2024-10-26 10:22:15,SA-37/LINE_LEVEL,560
2024-10-26 10:22:21,SA-37/LINE_LEVEL,544
2024-10-26 10:22:23,SA-37/TEMPERATURE,27.98069
2024-10-26 10:22:23,SA-37/LINE_LEVEL,560
